"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","shear_hair_1","shear_hair_2","shear_hair_3","shear_hair_4","shear_hair_5","shear_hair_6","shear_hair_7","shear_hair_8","shear_hair_9","shear_hair_10","shear_hair_11","shear_hair_12","shear_hair_13","shear_hair_14","shear_hair_15","shear_hair_16","shear_hair_17","shear_hair_18","shear_hair_19","shear_hair_20","shear_hair_21","shear_hair_22","shear_hair_23","shear_hair_24","shear_hair_25","flux_hair_1","flux_hair_2","flux_hair_3","flux_hair_4","flux_hair_5","flux_hair_6","flux_hair_7","flux_hair_8","flux_hair_9","flux_hair_10","flux_hair_11","flux_hair_12","flux_hair_13","flux_hair_14","flux_hair_15","flux_hair_16","flux_hair_17","flux_hair_18","flux_hair_19","flux_hair_20","flux_hair_21","flux_hair_22","flux_hair_23","flux_hair_24","flux_hair_25","Umean_hair_1","Umean_hair_2","Umean_hair_3","Umean_hair_4","Umean_hair_5","Umean_hair_6","Umean_hair_7","Umean_hair_8","Umean_hair_9","Umean_hair_10","Umean_hair_11","Umean_hair_12","Umean_hair_13","Umean_hair_14","Umean_hair_15","Umean_hair_16","Umean_hair_17","Umean_hair_18","Umean_hair_19","Umean_hair_20","Umean_hair_21","Umean_hair_22","Umean_hair_23","Umean_hair_24","Umean_hair_25","leakiness_row_1","leakiness_row_2","leakiness_row_3","leakiness_row_4","leakiness_row_5"
"1",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,51.7965373831566,32.5852556228638,22.8028125762939,34.5149869918823,126.394042451299,22.7981376647949,26.4629583358765,31.2956620685123,591.107629966735,23.431993825911,25.6469383239746,32.265552520752,49.2477187514048,24.5005873440296,25.8216938547358,32.0889980792999,23.8434619903564,28.4155831356129,29.4012994083848,26.8350048065186,32.7238447007763,22.285343170166,27.0268516540527,86.4787620428074,24.6310892105103,-0.000465230025351047,-0.000380902620963752,0.000135405773296952,-0.000148465566337108,-7.32336677610875e-05,-0.000455075221136212,-8.15747305750831e-06,0.000222355442121625,0.000217112082988024,-0.000606227111071348,-0.000174400512129068,0.000220638582482934,0.000120987880975008,-0.000689060177654028,-0.000311522964388132,9.8801551386714e-05,9.47624836117029e-05,-0.000238259937614203,-0.000299613874405623,-0.000424752805382013,-5.57937286794186e-05,8.63210298121309e-07,-1.7222421243787e-05,-2.89562386460605e-05,-0.000371952630579472,0.0175952519498217,0.0178845815746342,0.0163811464389081,0.0176398384972583,0.0171901019740401,0.018066618455819,0.0170505948766137,0.0170229075026226,0.0173474346858159,0.0182013092293849,0.0171541669367614,0.016859667468639,0.0171283910835417,0.0180337266043942,0.0174535818430791,0.0167430072079429,0.0170054673525927,0.0176829451768291,0.017783875302762,0.0174079560653972,0.0171303862804289,0.0169853669970902,0.0172231808946724,0.0174725068747956,0.0176760637476318,0.927450820008914,0.936746023261997,0.939073933033505,0.938725461962167,0.940925694995094
"2",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,30.9963972577102,25.338752746582,24.3876538276672,22.9900112152099,28.7705585409542,55.2845717581929,61.0902512001617,23.9431953430176,27.2524976730347,33.4795242596807,27.6743087768555,1809.5849607304,33.0476627349854,27.1950731277466,35.516471862793,24.8771667480469,41.942858230851,24.8017892837524,33.9505720020704,25.6481990814209,164.749118397056,23.331840355835,29.0379638671875,41.7892026211483,28.2538289418628,1.72048015519976e-05,-0.000105077220126987,-0.00059659281745553,1.43138978164644e-05,-0.00023893554136157,-0.000149534109979868,-3.85250896215411e-07,8.95934924483298e-05,-0.000492073636502028,0.000122348990291357,-2.6249384507537e-05,0.000152318865060806,0.000246935131959617,-0.000247613154351711,-0.000173419091850519,-0.000263143945019692,0.000296314442297444,-0.000666257183998823,-3.20111326873304e-05,-0.000140198225155473,2.66937853011769e-05,-0.00054020094871521,8.02476517856119e-05,-5.41681721806519e-05,-0.00031202544644475,0.0170650400719733,0.0178783470162285,0.0187766568069884,0.0173974346250592,0.0179053194443455,0.0179870853972963,0.0183050900770674,0.0175121749837309,0.0181198664206154,0.0176754745165578,0.0175852783045352,0.0180120876520712,0.0172804816193796,0.0181763874648859,0.017928565640394,0.0178839529131539,0.0177634071614777,0.0187828390539628,0.0177074737409787,0.0177783830085263,0.018002537657857,0.0186625939207843,0.0173125916393576,0.0182142360898011,0.0181040099994262,1.00588775668487,1.00662029015366,1.00690196712385,1.00961913252967,1.01098348849084
"3",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,25.5442115717186,22.1998386383057,55.15897237347,26.517822265625,25.9938173294067,27.9364547880996,25.3597936630249,23.0762228965759,25.9419097900391,62.1180190195145,32.6119937896728,24.0098056769834,26.5485935211182,27.2363877296448,34.7573146820068,119.030596685777,24.7480049133301,25.4711647033692,31.9321352803048,31.3091221294694,33.9222169929068,24.2925381660461,94.6928050758987,28.9854259490967,31.5950846445359,0.001348488740623,-0.000431602826341987,0.000204058730043471,9.66543946415187e-05,-0.000307835176587105,-2.94701773673295e-05,-0.000421448118984699,-0.000499661896377802,-0.000524376034736633,-5.85007052868605e-05,0.000288821319118143,-6.17854297161101e-05,-0.000142638878431171,-0.000166136246174574,-0.0002170913182199,0.000213633187115192,0.000188557017594576,-0.000169583655893802,0.000146377921104431,0.0001553312567994,0.000154390360228717,-0.000220801386982203,-0.000182602372020483,0.00011966659501195,0.000120709314476699,0.0203970316985523,0.0178826559086392,0.0184828075948578,0.0177402373430952,0.0191579469266534,0.0175721608120856,0.0187520013391266,0.0190180976154989,0.0189177991482169,0.0184063903143206,0.0176980849017169,0.0177750359703268,0.0180798383874465,0.0182074483720011,0.0183309608048563,0.0184029302645304,0.0179717566799084,0.018023820324362,0.0182102346492026,0.0176930821273509,0.018074634655795,0.0189315739772779,0.0188945053286305,0.0179229604998644,0.0175513292250198,0.979572953977622,0.969597730634269,0.967314801846708,0.965969887621468,0.965351556824947
"4",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,27.3378873660699,21.8187713623047,28.0398712158203,22.6353065098063,26.2700843811035,23.2775135040283,24.0235228482431,64.6301107322777,23.5873260498047,27.8903331809095,21.7309455871582,23.7398738861084,26.0849285125732,24.0816330909729,24.1453514099121,23.8476553326475,22.0411148071289,23.9911117553711,23.4094200134277,25.1798038482666,22.1854613269475,24.0818643569946,23.5895252227783,23.0202655792236,32.9113180848794,0.000777479435317218,-0.000313552906736732,-0.00050496107339859,-0.000352264150977135,-2.78483182191848e-05,-0.000153406632132828,-0.000542658273130655,-0.00024368216469884,-0.000323482339270413,-0.000258370995521546,1.50622427463512e-06,-5.53559139370917e-05,-0.000112797222100198,-0.000609537255018949,-0.000192083313129842,-0.000255236953496933,5.88534381240607e-05,-0.000377861000597477,-0.000364585163071752,-0.000335125271230936,-0.000473840227350593,0.000220454294234514,-0.000175426281988621,9.28589049726724e-05,-1.80702880024911e-05,0.0207644576645423,0.0162047893656734,0.0179648020563321,0.0179488743370345,0.0179673088358997,0.0167066235528397,0.0183046702638652,0.0180947992163422,0.0177788068833267,0.0179958240228491,0.0174820972369613,0.0171300582690378,0.0173707269427752,0.0182483662414049,0.0172432174947695,0.0178577042286719,0.0167896410922358,0.0174221387757565,0.0177098627409641,0.0178947169331787,0.0179037138602989,0.0172676475543618,0.0175924664536644,0.0169337653242654,0.0173238363647635,0.965579965107997,0.948099417743118,0.943640988208742,0.941769831572213,0.941535326150188
"5",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,19.9257435710125,26.5772457122803,29.9444356097136,24.8534948476541,23.7666897773743,53.319439501541,23.9294681549072,24.7189715125808,34.4015636444092,32.357985496521,29.080845136844,27.3539295196533,33.6586774965948,30.6210241317749,30.6721114169538,26.5101718902588,22.6426467895508,24.759813785553,28.1657810211182,24.7906761169434,23.7060174942017,25.0576388698485,59.8301036410754,32.1794948577881,29.0918338517746,0.000870498588308692,-0.000224573070649058,-0.000463372152298689,-0.000428297035396099,-0.000133033391088247,1.32156535983085e-05,-0.000279279472306371,-0.000118505589663982,0.00030082412622869,4.21972137410195e-05,-0.000272739123553038,-0.000541385423392057,-0.000149385886266827,-0.000408984480425715,-0.000198047652840614,-0.000107555923052132,-0.000370207560248673,-0.000256167504936456,6.08129613101477e-06,-0.000247840399388224,-0.000542579047381878,-0.000363152109086513,8.03209096193315e-05,0.000199232724495232,-4.63920719921587e-05,0.0147274568349767,0.0183683806835931,0.0187253750489281,0.0184071960610905,0.0189219478448353,0.0182166946642733,0.0184642163465457,0.0183018366321321,0.0177259685610101,0.0176925987914267,0.0183512582958112,0.0186142341890352,0.0182872153536644,0.0184459155462714,0.0183264005755814,0.0181466963110365,0.0182960600951328,0.0186879198944384,0.0178819855982792,0.0182947359415657,0.0191060502387046,0.0186340941710217,0.0182689001686912,0.0177565086249179,0.0177878146060257,0.995784197190078,1.00406900960215,1.00855881606539,1.00817713794597,1.00914323348261
"6",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,32.2046012878418,17.3838596343994,17.6019134521484,18.1192870140076,18.59059715271,21.6966304779053,19.5240840911865,18.4581108093262,18.0393447875977,18.4422988891601,20.6275544166565,20.8076286315918,18.7650680541992,18.298059463501,18.3252964019775,21.2987957000732,20.0599193572998,19.3615779876709,18.6684417724609,17.528590566776,22.2219524383545,20.9683647155762,19.9600067138672,19.3695592880249,17.3856287002564,-0.00151501568965614,-0.000165802422910929,-0.000388861525803804,-0.000102354671806097,-0.000847091022878885,0.000110040385276079,-0.000106865905225277,-0.000653797645121813,-0.000422690195962787,-0.000204334493726492,-7.2292022407055e-05,0.000130530569236726,-0.000306871093809605,-0.000105578050017357,-0.000334506563842297,0.000239444582373835,-0.000407301856204867,-0.000177585193887353,-0.000367382291704416,-0.000249614596366882,0.00035196157055907,-0.000303091122768819,-8.53828210383656e-05,-0.000259078932926059,-0.000518001645803452,0.0182526306580291,0.0115936550092028,0.0114239450366458,0.0118328753777896,0.0121613202935039,0.0116165747970247,0.0114648051824236,0.0119008622299021,0.0116916977607606,0.0116661777732441,0.0117007534990211,0.0114672349749229,0.0116114435213946,0.0117327443462479,0.0117114781170368,0.0114010305116733,0.0117396320638682,0.0116310462086591,0.011823038175305,0.0118338490185678,0.0113633067355718,0.0115775518241884,0.011451392727919,0.0117661335900539,0.0121810845598861,0.822874468871548,0.841209356695811,0.83645313856808,0.834171747104944,0.832230705813078
"7",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,34.7524326437873,37.0677664441506,40.1380138397217,37.7518196105957,32.7540340423584,28.3921256532819,59.2035269466108,38.5162696838379,28.3361587524414,42.6543944705976,135.180180857501,24.9727478027344,50.8748278781593,30.7585525512695,24.9885553148853,32.4815355495299,23.2575810551643,36.4384921935815,38.896080230732,28.79616355896,26.6937754884301,129.401265387271,27.637677192688,38.1851940155029,26.9671287536621,-0.000967208709567785,0.000885424382984638,-0.00128142161667347,0.000575964013114572,-0.000415857173502445,0.000589092148467899,-0.000269136756658554,-0.000482499711215496,-0.000797705810517073,-0.000127705328166485,0.00014320731908083,2.2758583538234e-05,6.2561545521021e-05,-0.000246765825897455,-8.94235791638494e-05,8.01366372033953e-05,-0.000169814976397902,0.000229076627641916,-0.000280536659061909,-0.000594580829143524,-0.000460778903216124,1.14297117106619e-05,0.000182216197252274,0.000599162142723799,0.000325838183052838,0.0271653610825883,0.0223659130788905,0.0235660307086576,0.0211404352060437,0.0221010060023165,0.0195876971093819,0.0210571634325983,0.0200331416170601,0.0213453658675493,0.021143127500287,0.0204838530187989,0.0198474612479223,0.0194365954283519,0.0194726794921162,0.0195208275619369,0.0193919057141365,0.020296187188636,0.0193319408941307,0.019362755419278,0.0197269060438903,0.0201140932071303,0.0197597990706728,0.0197143065407894,0.018752161819967,0.0182121814521871,0.91109626705215,0.788853872779679,0.743196097155257,0.717815770396652,0.703029217563841
"8",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,32.8622721597824,23.4888572692871,28.3119640350342,23.4334621429444,33.9843559265137,23.6545076370239,26.3215999603271,26.0534896850586,24.1389751434326,31.4141994919301,24.9701061248779,24.0956087112427,32.143491268158,26.1984195709228,36.1033487566349,25.8373355865479,46.9309820762228,34.8149540865531,37.4265743669094,27.2555713653565,79.1895362006807,33.5374011993408,27.0510339736939,24.3610081672668,29.6577463526121,0.00308801567461342,-0.00089976242929697,0.000784785062074661,0.000443888719004463,0.000625017922371626,-0.000455400319769979,0.000185579013079405,6.63383961655201e-05,0.000291839681565762,0.000266160991042853,0.00011327026411891,-0.000404857471585274,-1.9052593037486e-05,0.000134625568985939,0.000120249919593334,0.000166577043011785,-0.000228372666984796,-2.87392362952232e-05,-6.76063187420369e-05,7.91968889534473e-05,0.00014684196561575,0.000124781597405672,0.000120497532188893,-0.00024908309802413,7.0053986273706e-05,0.016681394961164,0.0144432031305211,0.0230316269337774,0.015760076058326,0.0190599888339794,0.0171860048072607,0.0199316390861823,0.0189017618241249,0.0190398874044165,0.0178821677874376,0.0172382595361143,0.01804169580279,0.0189046608902698,0.0188551112767178,0.0186787205890748,0.01743668611259,0.018623165813007,0.0180052019626116,0.0190694173537575,0.018241794705327,0.0191567168932016,0.0181163639178543,0.0181179496499321,0.0185872822824011,0.0176556597231382,0.878493466524718,0.935616333443128,0.959210394068311,0.971346990718351,0.97692757645001
"9",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,38.5151710003904,31.7271430492401,184.947170463769,115.294910064708,30.655869163482,30.2794494628906,31.5722494125366,29.151647567749,26.7692818641663,26.9318933486938,27.9861545595754,60.5039450135651,29.4873504638672,35.3117316219453,28.2362689971924,25.7577800750732,24.4238189640477,26.5389318466187,24.8042289743969,25.8323202133179,345.054990508808,27.9025144577026,26.9755859375,24.4111919403076,24.1461720466614,-0.000148350616917014,-0.000107817089185119,0.00027233125269413,-0.000153770320117474,-0.000254314963705838,4.61575891822578e-05,-3.73451458290218e-05,0.000161744186654687,-1.89427286386407e-07,-0.000249299172312021,-0.000476734817028046,-0.000191616289317608,-0.000426427572965622,-0.000153477154672145,1.0890208184719e-05,-0.000172843155451119,-0.000398057412356138,-0.00058575065433979,-0.000163107573986053,-0.000371515437960625,-0.000120324697345495,6.11575469374657e-05,-0.000114005751907825,-0.000300050996243954,-0.000517300415784121,0.0148709868259668,0.0188987503186099,0.019212304892561,0.0186626557168317,0.0183805256876795,0.0185984793375078,0.018597054445721,0.0182396875063708,0.0180522438545632,0.0186932765935153,0.0189423417174984,0.0190245092259783,0.0189515651516181,0.0186940980027138,0.0181713940879244,0.0184622276212846,0.019323183230586,0.0193984930719121,0.0187387630015818,0.0191699697729517,0.0191594232756877,0.0188187389307364,0.0185317289251001,0.0188936041264813,0.0197483428423125,0.965173360910267,0.996139381669151,1.00328735443608,1.00527821450572,1.00726598677808
"10",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,12.4233417510986,39.3987464904785,22.2899908000225,24.0099544525146,22.62233319815,25.9263935089111,26.4691333770752,20.6889266967774,21.1846084594727,602.512558610277,29.9699211120605,27.9944953918457,25.9522142410278,24.2421798706055,24.722957611084,88.9944428985671,22.7149977684021,22.8461401829386,23.0034561157227,31.0332374572754,29.4986764195737,28.9465560913086,85.7942437474684,24.1702184677124,24.7908916473389,-0.00228009072854184,-0.000223694353946485,0.000804067756980658,-0.000865077327936888,-0.000287909302394837,-0.00050860900990665,0.000407959897071123,0.000103793285787105,0.000144511561840773,8.44342373311523e-05,-0.000336294952780008,-0.000125520780682564,-0.000274276550859213,-0.0001261539850384,-6.47171856835483e-05,-0.000350952308624983,-0.000338052537292242,-0.000164612516760826,-4.56731989979744e-05,-4.71628233790399e-05,8.26952047646045e-05,0.000149076417088509,-0.000136495862156153,-0.000460673741996288,-0.000296026904135942,0.00659825504660488,0.0184672700074552,0.0178866041091703,0.0161398004804932,0.0148079355561092,0.0168891682848175,0.0158529478814082,0.0159745875756027,0.0154649885777728,0.0156663086221634,0.0160890915665485,0.0159676464304585,0.016312939858622,0.0159565300880246,0.0160197890230493,0.0168072031835856,0.01681653096881,0.0160663244797868,0.0163348671261792,0.0163095054407244,0.0156968391343752,0.0157109382126836,0.0163456992098236,0.0166655559466414,0.0164421994978841,0.915838916933184,0.953343691557335,0.983527997035611,0.993374819146508,0.99999951820743
