"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"1",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,458641575242.115,15448.7437941485,489735456.560501,832538331.499798,828690760.605745,997217075.785478,1017645688.70337,1759610609.9588,1751714351.79555,5015369444.33634,3523370752.68446,3164723756.43073,3258439382.60861,4501632221.11444,16684230921.7622,13244344562.3999,12592736209.9664,12173671695.0223,12053143701.0268,13130431836.2123,58861068290.4634,53221139143.2748,50846336747.6827,49857563545.0755,48910816217.8534,46776203526.275,43149201013.0161,2150964548.66604,5526187726.24319,19463535557.1746,79878558926.3898,351622328483.641
"2",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,148884290141.031,6512.66011976199,10201807918.1667,3393241320.46966,23812596336.142,2700180009.41333,6889130966.30991,967253829.434808,20057303121.3925,18812313647.8195,5939589110.32893,2027865060.99571,698428848.091556,292153261.451723,19169757831.9986,5725798895.41683,1841671414.64003,561879833.838818,222392589.413205,149629062.772075,16114827688.2395,5891261371.56579,1999018333.62671,770746100.804043,352631704.201225,172982592.760871,119829291.737378,37407645574.7783,30613867926.5505,27770349928.6874,27671129628.0796,25421297082.9355
"3",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,321393321.911817,2055.87069754744,23120075.7645486,6768342.61978376,51268643.7386708,6076667.25432447,16849848.597962,1729138.16977918,40303580.0169557,42593746.0690121,13135939.7655564,4663616.15259323,1488359.61165215,842049.609772247,37516910.1502626,12650654.0754281,4865486.89198993,1658978.80618279,705440.679729162,437384.664735947,31607638.9611441,14152641.691982,5291999.57849627,1997859.94179914,913460.340476519,471626.776433984,283231.982546011,81157062.1230032,64959234.0390214,62723711.2085861,57834855.2683285,54718459.2728781
"4",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,95866088551.5833,5055.4506415681,722096618.498291,237671159.439462,2874227744.70139,337961909.356708,1289921542.09956,138142468.55178,5716422717.24875,8630091531.71675,2243491563.32893,726438535.768767,278251111.584116,150922085.058687,13938505000.5588,4360331756.43843,1972167587.32441,1055943891.67154,518113815.86004,270874604.854703,23829109864.7657,11673511321.396,6867022698.33212,4137478803.82672,2298574690.88114,1160010211.18002,438805317.14051,3833995522.63915,7482448637.25679,12029194827.4573,22115936656.7079,50404512907.5222
"5",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,19027449145.5295,6401.88297763105,15956258.0604944,15020305.6617964,36069068.1236418,28275145.5308747,46143620.2540616,36681637.9080445,142889180.628819,481916699.219887,176266979.089173,106727003.309526,81787463.8892764,91198209.360438,1476146885.10329,684398188.300132,475731178.054901,360874400.028129,283010400.354582,240899017.144979,4630761598.52499,2813138609.59795,2106916817.83208,1722480603.94398,1358845043.74776,988739710.505667,626575121.355071,67045631.8459327,253989584.3218,937896354.868301,3521060068.98602,14247457505.5075
"6",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,204215211974.858,9888.54147298937,5478343232.5612,1748381192.65493,20500149489.254,1048456664.93789,4494094972.51801,424677958.844415,23199790435.9866,27686340354.5153,5118595182.58486,991673058.613962,239811333.254213,162221753.707528,33531289548.236,6616303462.98623,1377570373.12782,320017700.044457,98621898.5876885,90568487.9712608,52262672825.55,13461275248.1694,3702545814.47987,1090405041.16515,347013256.275451,130898658.100614,93494030.7316605,27726873914.4701,29167020032.2869,34198641682.6759,42034371470.9535,71088304874.4721
"7",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,58694367251.926,6735.80115804527,6749387004.4618,3798608326.95409,11834914073.1145,1631085830.78577,3117995168.59238,760107903.83777,7930926597.43282,6503895775.57045,2108523200.6654,813328687.390182,371349016.613578,144004936.634018,5042941444.07499,1612152918.30441,554834342.673103,193292420.883242,99921385.596555,44284465.9106063,3194808033.21538,1263049080.55362,495790594.369979,237982729.180334,112322520.351418,56535304.7962048,22325489.9634524,22382909404.5304,13440115500.6487,9941101616.87363,7547426977.44291,5382813752.43039
"8",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,11463464093.0363,12720.1998888653,20876892.953927,28472505.7899719,30033965.8257662,46564402.2393383,45867345.492408,63839970.9367892,63001295.0214018,156394674.82461,122827450.613544,121698534.831022,131851420.119762,146195615.252303,433175934.808618,404808479.264424,372360593.682445,374417018.425971,386718794.228399,376663758.997582,1153268161.68756,1272574800.5727,1274116926.58742,1166842030.1747,1147643541.10067,1174320083.81434,948929895.790648,79383364.5696652,219273013.689937,678967695.641241,2348144579.40744,8137695439.72803
"9",12,120.80689,40.575682,43.83535,0.011850935,6.5450626,5.3663341e-05,0.010003338,9999914.5,33120314299.6315,1501.75703951764,2209634796.16696,689307997.061076,5327097946.54072,609572240.224095,1649644311.21031,198275328.187218,4214463773.4396,4022109087.92915,1331837475.88565,497477170.74145,170541654.540592,72641062.0794142,4210186692.22194,1378130160.40188,470500855.355021,148822684.643447,64133155.7824714,36236625.0356102,3618696490.95451,1372524702.38357,456806548.523617,207148764.991691,91819363.1040308,43368216.5311354,29337195.6963873,8226040739.76876,6671955653.06123,6094606451.17625,6308010173.44037,5819701282.18494
"10",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,5565959454.95823,13454.2965826061,751459410.784517,787176827.401777,929932168.277276,245976199.831189,315958805.972414,295866518.842846,613951460.892794,392228564.343038,166994183.934838,95668344.6861678,90354793.3392255,133153217.537987,224387548.28406,99598048.7511007,47211188.405028,31782775.5910131,34161673.4054104,43747998.8383534,109109758.982953,66601263.1089358,32493482.597961,17011549.3522758,14024020.9203269,13896308.2201926,13213342.6565508,2468568406.46357,1471752985.53924,878399103.841256,480889233.274966,266349725.839196
