"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","hair4","hair5","hair6","hair7","hair8","hair9","hair10","hair11","hair12","hair13","hair14","hair15","hair16","hair17","hair18","hair19","hair20","hair21","hair22","hair23","hair24","hair25","row1","row2","row3","row4","row5"
"1",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,236,3.38098327906275e-07,0.0633772077626872,18962916.5327678,79350306093.1565,95866088551.5833,7649270.76116044,0.00152103191303327,0.00753234672873659,0.00247919950662821,0.0299816941332162,0.00352535411074854,0.013455451886988,0.0014409941058297,0.0596292474598343,0.0900223599617616,0.0234023479754446,0.00757763821122093,0.00290249780488745,0.00157430106243961,0.14539557429694,0.045483567988614,0.0205721086269545,0.0110147801754044,0.00540455779189588,0.00282555186038441,0.248566622721275,0.121768933079133,0.0716314058712966,0.0431589404171887,0.0239769320477108,0.0121003185663076,0.0045772736091595,7.47499513678154e-06,1.86125888348117e-05,3.47749352183514e-05,9.06977446146032e-05,0.000223652971636217
"2",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,534,1.51965522354134e-07,0.0216155758996521,20651702.0262972,195595760689.203,204215211974.859,16571980.5064641,0.00391965790798146,0.0268263229736071,0.00856146403466839,0.100385026614853,0.00513407720609458,0.0220066611544653,0.00207956084533359,0.113604614522266,0.13557432909515,0.0250647105721734,0.00485601953460768,0.00117430690365876,0.000794366649471244,0.164195846254412,0.0323986807789852,0.006745679520179,0.00156706102816599,0.000482931205927157,0.000443495306228269,0.255919587576973,0.0659171034223772,0.0181306073072348,0.0053394897991213,0.00169925272911683,0.000640983875954987,0.000457821088975344,6.27856327794524e-05,8.70139674377564e-05,0.000135213595287044,0.000187346274683967,0.000393493622459613
"3",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,117,6.88954966758661e-07,0.153995214169896,22860749.2795851,147321050082.34,148884290141.031,12001224.8263051,0.000528997405250766,0.0685217218586525,0.0227911307314922,0.159940288620011,0.0181360975483416,0.0462717118091113,0.00649668160770067,0.134717390951007,0.126355263070398,0.039893994891621,0.0136204099107757,0.00469108491856304,0.00196228400709692,0.12875608174536,0.0384580461107955,0.0123698169423752,0.00377393634551083,0.00149372770762142,0.00100500235874677,0.108237260445508,0.0395693955754853,0.0134266572499565,0.00517681281264766,0.00236849504986183,0.00116185927069278,0.000804848460666125,1.36320266421822e-05,1.67343756917582e-05,1.85533714076006e-05,2.5209657712566e-05,2.70199509186857e-05
"4",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,352,2.20704027532608e-07,0.0639070582123419,29687952.7134002,448954631170.63,458641575242.114,35630863.0831416,0.00124186692357134,0.00106779560117718,0.001815226478455,0.00180683742019742,0.00217428408067684,0.00221882564433056,0.00383657022159387,0.00381935360062119,0.010935269969123,0.00768218788456866,0.00690021124831539,0.00710454428578241,0.00981514207197212,0.036377493499046,0.0288773309646171,0.0274565954979523,0.0265428874139809,0.0262800939811529,0.0286289611430905,0.128337838233246,0.116040808370195,0.110862903610169,0.108707030143868,0.106642787872062,0.101988581173833,0.0940804395899735,7.1147670377419e-07,2.3805243991609e-06,1.04804214910575e-05,5.16141148058733e-05,0.000267775362760269
"5",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,61,1.38126787441064e-06,0.319266256491275,156329.54071247,309843215.074433,321393321.911817,27079.7465070215,0.000273747135967896,0.0719370135851554,0.0210593754080579,0.159519940967341,0.0189072604812609,0.0524275006640779,0.00538013098558911,0.125402667912353,0.13252841040891,0.0408718503776522,0.0145106193397286,0.00463095998012218,0.00261999721949196,0.116732077465369,0.0393619070868533,0.0151387305219892,0.00516183347032323,0.00219494504594193,0.00136090153377846,0.0983456618610655,0.0440352699545672,0.0164658044137839,0.00621624596900402,0.00284218830386012,0.00146744423197252,0.000881262811751026,1.133206919866e-05,9.07034478535535e-06,8.75819574068834e-06,1.13057815400293e-05,1.2988699888787e-05
"6",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,157,4.90383013954965e-07,0.114094473558818,8713791.55571142,57883446354.3888,58694367251.926,4518887.15228312,0.000684246376640917,0.114992073694096,0.064718447524101,0.201636283466811,0.0277894780564697,0.0531225620886145,0.0129502700076016,0.1351224481796,0.110809538974236,0.0359237742799963,0.0138570143179028,0.00632682545191579,0.00245347114853329,0.0859186610263611,0.0274669102638893,0.00945294018234597,0.00329320222592398,0.00170240161492287,0.000754492602680765,0.0544312543570448,0.0215190850449482,0.00844698763412787,0.00405460933174171,0.00191368483229933,0.000963215167710145,0.000380368526124963,3.15781415136105e-05,2.59473361214423e-05,2.36211436228283e-05,2.12960444819648e-05,1.67870766142685e-05
"7",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,723,1.08730990877136e-07,0.025960611381825,18448106.922639,281993128018.302,284316736932.976,22350851.3029561,0.00305309718095834,0.00118997666758073,0.0022945081665213,0.0024273801048235,0.00140205222814451,0.00150591441884552,0.00382702852215154,0.00437201738382886,0.012229775773966,0.00538864877983285,0.00426842263446526,0.00460903714728375,0.00872514937681147,0.0411224976376727,0.0249258168683635,0.021339404682978,0.0196727229936141,0.0208065847229476,0.0272817240936403,0.161587974421341,0.121956698541612,0.108975580827694,0.104436731488214,0.0981457241369616,0.0958153441888497,0.101693284191856,2.17193131617411e-06,5.30002645189592e-06,2.12686765414702e-05,0.000115309020356383,0.0006827988464295
"8",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,300,2.59224585551424e-07,0.0558349019310924,2972164.47286115,18551874389.5426,19027449145.5295,1479714.78565521,0.00142851386709571,0.000838591549421815,0.000789401960657739,0.00189563340034553,0.00148601871510023,0.00242510805842322,0.00192782740489745,0.00750963408368327,0.0253274464450802,0.00926382605156437,0.00560910726883229,0.0042983935084379,0.00479298137458771,0.0775798623248514,0.0359689931669548,0.0250023623459097,0.0189659894643795,0.0148737961767763,0.0126606049661458,0.243372696103775,0.147846334423597,0.110730387542625,0.0905260915832576,0.071414987545349,0.0519638603652749,0.0329300641700721,5.87247488801615e-07,3.30523152935158e-06,1.33786514592844e-05,6.08002214221767e-05,0.000310198189674535
"9",23,117.70541,29.206961,9.5007777,0.0013007179,3.2456649,1.011387e-05,0.022406634,4503935.5,123,6.28566207455735e-07,0.134430197656143,13493808.7976962,53900505194.5579,57325956233.179,4432078.54448632,0.000611670837689397,0.0597347574300935,0.0215784414091456,0.153520698991013,0.0170251360248645,0.0429249870031195,0.00568206660515976,0.139798500854693,0.130192352093962,0.0378435808392293,0.0137124314502127,0.00450392348390966,0.00227040694760354,0.12805921097715,0.0370472152870584,0.0134388909340767,0.00411788097955616,0.00172891910075021,0.0010719502572278,0.120912117220135,0.0386432446685698,0.0152975069712223,0.00609401903881129,0.00264017285740857,0.00132662155467359,0.000834967020354416,1.75172008541093e-05,1.94102706359213e-05,2.25002604216396e-05,2.76690150124189e-05,3.23300497379071e-05
"10",12,120.80689,40.575682,43.83535,0.011850935,6.5450626,5.3663341e-05,0.010003338,9999914.5,72,1.0243467631882e-06,0.233124933753424,22054375.9263947,32780101325.1474,33120314299.6316,2442721.44589945,0.000319650161292971,0.0667153933437021,0.0208122420223755,0.16084080296907,0.0184047842876562,0.0498076285232796,0.00598651710830606,0.127247094798448,0.121439339359587,0.0402121025735695,0.0150203034379714,0.00514915568124574,0.00219324796927493,0.127117957098275,0.0416098152914332,0.0142058088911389,0.00449339590491453,0.00193636917821111,0.00109409061483494,0.109259122912211,0.0414405699766816,0.0137923373670611,0.00625443234377745,0.0027722974568829,0.00130941440165071,0.000885776488440923,1.1026529357488e-05,1.07320423821396e-05,1.06203052971454e-05,1.4374385522851e-05,1.5601942433761e-05
