"angle","gap","Re","row1"
8.4438139,25.25,2.505,0.70636182190928
12.497732,10.960581,2.505,0.420450011555222
12.497732,25.25,1.0645111,0.711168479495682
12.497732,25.25,2.505,0.717333040481511
12.497732,25.25,3.9454889,0.719878941912127
12.497732,39.539419,2.505,0.864409356162263
20.2863,6.0787324,2.505,0.387740092783545
20.2863,10.960581,1.0645111,0.501203975710766
20.2863,10.960581,2.505,0.52185321689661
20.2863,10.960581,3.9454889,0.530076616107059
20.2863,25.25,0.57238131,0.744386350147058
20.2863,25.25,1.0645111,0.753015077731689
20.2863,25.25,2.505,0.761175584088196
20.2863,25.25,3.9454889,0.764626762875705
20.2863,25.25,4.4376187,0.765384520834778
20.2863,39.539419,1.0645111,0.880527436600921
20.2863,39.539419,2.505,0.884705479221108
20.2863,39.539419,3.9454889,0.886759013473056
20.2863,44.421268,2.505,0.909936558038462
38.038476,3.9368763,2.505,0.445086222555353
38.038476,6.0787324,1.0645111,0.58006433683758
38.038476,6.0787324,2.505,0.626508210784135
38.038476,6.0787324,3.9454889,0.645663239047086
38.038476,10.960581,0.57238131,0.756954816121142
38.038476,10.960581,1.0645111,0.788090021992878
38.038476,10.960581,2.505,0.818108455820863
38.038476,10.960581,3.9454889,0.830239051537743
38.038476,10.960581,4.4376187,0.833014004523478
38.038476,16.835469,2.505,0.895885645170541
38.038476,25.25,0.3564649,0.902090468994817
38.038476,25.25,0.57238131,0.916456158461272
38.038476,25.25,1.0645111,0.928844540487189
38.038476,25.25,1.6567473,0.935700907952075
38.038476,25.25,2.505,0.940901202008148
38.038476,25.25,3.3532527,0.944180173545271
38.038476,25.25,3.9454889,0.945767343734284
38.038476,25.25,4.4376187,0.946847239040605
38.038476,25.25,4.6535351,0.947271754277269
38.038476,33.664531,2.505,0.967279239691949
38.038476,39.539419,0.57238131,0.964933196353765
38.038476,39.539419,1.0645111,0.97232631281678
38.038476,39.539419,2.505,0.979284232464852
38.038476,39.539419,3.9454889,0.982103834052493
38.038476,39.539419,4.4376187,0.982780860309722
38.038476,44.421268,1.0645111,0.980996098705412
38.038476,44.421268,2.505,0.987218619858225
38.038476,44.421268,3.9454889,0.989870757867272
38.038476,46.563124,2.505,0.989910722390438
41.537762,25.25,2.505,0.983306153950107
59.401706,10.960581,2.505,1.12041809900897
59.401706,25.25,1.0645111,1.17161385940077
59.401706,25.25,2.505,1.1872243268652
59.401706,25.25,3.9454889,1.19339300686998
