"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","total_conc","norm_conc","hair1","hair2","hair3","row1"
"1",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,77883798380.537,11026.2073051567,24012148550.4465,16132294702.983,37739355127.1075,77883798380.537
"2",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,2812882870626.54,40974.0763818566,929900786101.185,855067414741.348,1027914669784,2812882870626.54
"3",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,704667169941.462,9091.7739602681,206486526351.016,93119009582.0494,405061634008.397,704667169941.462
"4",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,313811499973.028,5072.87070394053,86409707481.9863,40393508685.4035,187008283805.638,313811499973.028
"5",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,1800158285.82452,3076.04539767862,566754049.076994,235547932.043281,997856304.704246,1800158285.82452
"6",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,528640436219.702,9649.41707433796,121803704542.879,58663667569.0322,348173064107.791,528640436219.702
"7",11,95.346035,34.760372,9.2591084,0.0010040371,9.3565624,7.9856825e-05,0.042899685,1080204.3,79311258029.4174,3783.06885899274,12967293478.3487,3025516085.01597,63318448466.0527,79311258029.4174
"8",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,127233197720.544,55209.4047067481,45310891057.5243,36954941875.334,44967364787.686,127233197720.544
"9",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,62620604014.2262,59231.8510176678,22373857011.9944,17437405262.4858,22809341739.746,62620604014.2262
"10",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,377356728189.959,17941.1343429551,126894448967.318,82851029184.8307,167611250037.811,377356728189.959
"11",15,12.031603,8.9280695,5.9251116,0.018619564,1.3861366,5.7939122e-05,0.031953973,2859080.2,926575409967.847,25270.1487422399,283721839500.851,285425132105.247,357428438361.75,926575409967.847
"12",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,1296457159699.98,22739.6726904491,453102585194.001,394925347447.937,448429227058.047,1296457159699.98
"13",14,69.014817,37.070443,10.662101,0.018253324,7.2899022,5.315392e-05,0.029703811,7823913.6,400454952826.646,4746.55700055173,99616048630.3302,38358972239.7724,262479931956.543,400454952826.646
"14",18,106.0158,22.59127,10.11384,0.0016645654,9.0986911,3.4844013e-05,0.0091539265,9387124.7,246940105151.2,1697.16679583581,57952019709.0579,22092732599.9145,166895352842.227,246940105151.2
"15",12,120.80689,40.575682,43.83535,0.011850935,6.5450626,5.3663341e-05,0.010003338,9999914.5,170191837582.079,2097.86122448641,49310208096.529,20902371606.2512,99979257879.2986,170191837582.079
"16",13,1.3856735,23.483196,26.726522,0.010668903,6.3678164,1.9768736e-05,0.036100119,8562518,3573152485556.64,57251.8707857232,1222185463529.83,1158830376794.6,1192136645232.2,3573152485556.64
"17",16,75.147475,17.064176,16.350421,0.018014995,4.4985718,8.2829586e-05,0.0054241392,558211.25,11131450022.1861,1139.81727115494,2537790081.75103,1066849118.34133,7526810822.09372,11131450022.1861
"18",17,123.61909,1.6106141,10.531155,0.0030156878,3.5964895,1.6846245e-05,0.023506822,5986561.1,1412242781408.44,10619.8234493161,358860477200.228,376654555214.804,676727748993.411,1412242781408.44
"19",19,167.47857,40.469193,3.3046039,0.017349967,8.7010434,2.3323256e-05,0.025043041,8374610.1,1260688084566.31,30230.4150858125,459097391888.988,345779287863.874,455811404813.447,1260688084566.31
