"","simulation_number","angle","gap","ant","dist","re","diff_coef","stink_width","init_conc","hair_dots","hair_dxdy","domain_area","cmax","ctotal","raw_total_conc","total_conc","norm_conc","hair1","hair2","hair3","row1"
"1",1,39.412654,15.840683,7.1866183,0.018975754,6.0273508,3.496961e-05,0.02232773,641618.37,152,6.22743023878677e-08,0.0115152658031454,7063516.60412849,77255144207.5999,77883798380.537,8228007231729253,1164859898.10233,24012148550.4465,16132294702.983,37739355127.1075,77883798380.537
"2",2,8.4680309,18.367251,1.493913,0.019499157,7.2849846,3.4242964e-05,0.0371515,7949873.8,271,3.54556364902379e-08,0.0110770499522801,68650305.7301881,2794291049516.29,2812882870626.54,292750113000669952,4264367214.20072,929900786101.185,855067414741.348,1027914669784,2812882870626.54
"3",3,122.19565,48.3954,21.196413,0.019328281,7.8356224,2.1488788e-05,0.015253836,83597.137,39,2.4263358008078e-07,0.0357447790175006,585218.373949563,1766177800.32956,1800158285.82452,190237084039908,325070251.564426,566754049.076994,235547932.043281,997856304.704245,1800158285.82452
"4",4,122.27335,31.49183,19.111236,0.016411284,5.9060519,6.206599e-05,0.036216377,8349078.7,65,1.44888334843662e-07,0.0208297265704643,77506015.110024,701385403263.385,704667169941.462,74823369289270240,965387901.610661,206486526351.015,93119009582.0494,405061634008.397,704667169941.462
"5",5,168.24472,35.19343,8.5455107,0.010450953,8.0149925,4.3101288e-05,0.048646078,191024.91,186,5.0007298156715e-08,0.0205261956305979,1057211.66801874,62310414062.1846,62620604014.2262,6732415596617697,6368086732.55992,22373857011.9944,17437405262.4858,22809341739.746,62620604014.2262
"6",6,69.030374,17.982958,6.3977674,0.0031645426,1.0789461,3.3447187e-06,0.01963701,4068675.1,101,9.27189269666019e-08,0.0101738624181913,61860732.9631453,289929136179.121,313811499973.028,33510359274407680,541706469.827509,86409707481.9863,40393508685.4035,187008283805.638,313811499973.028
"7",7,93.494947,8.5671021,22.276396,0.014466964,9.3472651,1.4687879e-05,0.039232776,2254168.7,162,5.7897792647969e-08,0.00502946545174377,54784701.723132,514543431288.372,528640436219.702,56361605857730232,1028783658.30241,121803704542.879,58663667569.0322,348173064107.791,528640436219.702
"8",8,149.57376,26.284447,40.385677,0.012259489,8.6852211,5.9184219e-05,0.030259764,2794733.2,124,7.50572817266641e-08,0.0184926130718155,21033047.3523339,378120273052.507,377356728189.959,40545025757383216,1927681951.08372,126894448967.318,82851029184.8307,167611250037.811,377356728189.959
"9",9,6.2229799,28.70757,15.077804,0.018231998,9.311087,9.1635444e-06,0.015856545,8970199.8,254,3.65474129388113e-08,0.01527988859111,57013008.8215611,1304965831872.26,1296457159699.98,139658641628299872,2449592549.40223,453102585194,394925347447.937,448429227058.047,1296457159699.98
"10",10,9.6230943,35.124458,34.647722,0.0021915276,4.5383802,1.1690359e-05,0.040949777,418110.62,206,4.54515315033034e-08,0.0196490606811301,2304556.59495624,126304932712.104,127233197720.544,13588912446078418,5896540998.741,45310891057.5243,36954941875.334,44967364787.686,127233197720.544
"11",11,95.346035,34.760372,9.2591084,0.0010040371,9.3565624,7.9856825e-05,0.042899685,1080204.3,51,1.97294346378843e-07,0.0116261612434125,20964793.6597523,79340463713.072,79311258029.4174,7882246678640388,375975399.832937,12967293478.3487,3025516085.01597,63318448466.0527,79311258029.4174
"12",12,120.80689,40.575682,43.83535,0.011850935,6.5450626,5.3663341e-05,0.010003338,9999914.5,50,1.98020016404264e-07,0.0278645846283425,81126356.4985069,169801044436.357,170191837582.079,17189356982440248,211883754.236598,49310208096.529,20902371606.2512,99979257879.2986,170191837582.079
